Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","756","Switzerland","5110","Area","6600","Country area","2018","2018","1000 ha","4129.039","A","Official figure"
"RL","Land Use","756","Switzerland","5110","Area","6601","Land area","2018","2018","1000 ha","3951.603","A","Official figure"
"RL","Land Use","756","Switzerland","5110","Area","6602","Agriculture","2018","2018","1000 ha","1536.8592","A","Official figure"
"RL","Land Use","756","Switzerland","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1510.0756","A","Official figure"
"RL","Land Use","756","Switzerland","5110","Area","6620","Cropland","2018","2018","1000 ha","423.3603","A","Official figure"
"RL","Land Use","756","Switzerland","5110","Area","6621","Arable land","2018","2018","1000 ha","398.1389","A","Official figure"
"RL","Land Use","756","Switzerland","5110","Area","6630","Land under temporary crops","2018","2018","1000 ha","272.4953","A","Official figure"
"RL","Land Use","756","Switzerland","5110","Area","6633","Land under temp. meadows and pastures","2018","2018","1000 ha","122.6998","A","Official figure"
"RL","Land Use","756","Switzerland","5110","Area","6640","Land with temporary fallow","2018","2018","1000 ha","2.9438","A","Official figure"
"RL","Land Use","756","Switzerland","5110","Area","6650","Land under permanent crops","2018","2018","1000 ha","25.2215","A","Official figure"
"RL","Land Use","756","Switzerland","5110","Area","6655","Land under perm. meadows and pastures","2018","2018","1000 ha","1086.7153","A","Official figure"
"RL","Land Use","756","Switzerland","5110","Area","6656","Perm. meadows & pastures - Cultivated","2018","2018","1000 ha","615.8782","A","Official figure"
"RL","Land Use","756","Switzerland","5110","Area","6659","Perm. meadows & pastures - Nat. growing","2018","2018","1000 ha","470.837","A","Official figure"
"RL","Land Use","756","Switzerland","5110","Area","6649","Land under protective cover","2018","2018","1000 ha","26.7836","I","Imputed value"
"RL","Land Use","756","Switzerland","5110","Area","6646","Forest land","2018","2018","1000 ha","1262.23","A","Official figure"
"RL","Land Use","756","Switzerland","72151","Carbon stock in living biomass","6646","Forest land","2018","2018","million tonnes","153.5377","A","Official figure"
"RL","Land Use","756","Switzerland","5110","Area","6717","Naturally regenerating forest","2018","2018","1000 ha","1110.98","I","Imputed value"
"RL","Land Use","756","Switzerland","5110","Area","6716","Planted Forest","2018","2018","1000 ha","151.25","A","Official figure"
"RL","Land Use","756","Switzerland","5110","Area","6670","Other land","2018","2018","1000 ha","1152.5138","I","Imputed value"
"RL","Land Use","756","Switzerland","5110","Area","6680","Inland waters","2018","2018","1000 ha","177.436","A","Official figure"
"RL","Land Use","756","Switzerland","5110","Area","6773","Coastal waters","2018","2018","1000 ha","0","A","Official figure"
"RL","Land Use","756","Switzerland","5110","Area","6690","Land area equipped for irrigation","2018","2018","1000 ha","52","I","Imputed value"
"RL","Land Use","756","Switzerland","5110","Area","6671","Agriculture area under organic agric.","2018","2018","1000 ha","160.1447","A","Official figure"
"RL","Land Use","756","Switzerland","5110","Area","6668","Cropland area under organic agric.","2018","2018","1000 ha","38.2554","A","Official figure"
"RL","Land Use","756","Switzerland","5110","Area","6681","Perm. meadows & pastures area under organic agric.","2018","2018","1000 ha","121.8893","A","Official figure"
"RL","Land Use","756","Switzerland","5110","Area","6775","Farm buildings & farmyards","2018","2018","1000 ha","26.023","A","Official figure"
